wavelength_nm,attenuation_dbkm,attenuation_dbm
300,3525,3.525
310,2848,2.848
320,2654,2.654
330,2437,2.437
340,2239,2.239
350,2077,2.077
360,1933,1.933
370,1754,1.754
380,1554,1.554
390,941,0.941
400,491,0.491
410,359,0.359
420,303,0.303
430,245,0.245
440,162,0.162
450,140,0.14
460,110,0.11
470,96,0.096
480,83,0.083
490,63,0.063
500,51,0.051
510,45,0.045
520,39,0.039
530,37,0.037
540,34,0.034
550,27,0.027
562,24,0.024
570,22,0.022
582,19,0.019
590,18,0.018
602,16,0.016
610,14,0.014
622,13,0.013
630,12,0.012
642,11,0.011
650,10,0.01
662,10,0.01
670,9,0.009
682,9,0.009
690,8,0.008
702,8,0.008
710,7,0.007
722,7,0.007
730,7,0.007
742,7,0.007
750,7,0.007
762,6,0.006
770,6,0.006
782,6,0.006
790,6,0.006
802,5,0.005
810,5,0.005
822,5,0.005
830,5,0.005
842,5,0.005
850,5,0.005
862,5,0.005
870,6,0.006
882,6,0.006
890,7,0.007
902,9,0.009
910,8,0.008
922,7,0.007
930,6,0.006
942,8,0.008
950,7,0.007
962,6,0.006
970,6,0.006
982,7,0.007
990,7,0.007
1002,8,0.008
1010,8,0.008
1022,8,0.008
1030,8,0.008
1042,7,0.007
1050,7,0.007
1062,6,0.006
1070,6,0.006
1080,6,0.006
1092,8,0.008
1100,10,0.01
1112,15,0.015
1120,19,0.019
1132,28,0.028
1140,33,0.033
1152,39,0.039
1160,37,0.037
1172,30,0.03
1180,23,0.023
1192,15,0.015
1200,13,0.013
1212,13,0.013
1220,12,0.012
1232,11,0.011
1240,10,0.01
1252,9,0.009
1260,8,0.008
1272,8,0.008
1280,8,0.008
1292,10,0.01
1300,12,0.012
1312,20,0.02
1320,28,0.028
1332,44,0.044
1340,64,0.064
1352,100,0.1
1360,113,0.113
1372,106,0.106
1380,96,0.096
1392,83,0.083
1400,77,0.077
1412,69,0.069
1420,63,0.063
1432,56,0.056
1440,48,0.048
1452,42,0.042
1460,39,0.039
1472,34,0.034
1480,32,0.032
1492,30,0.03
1500,29,0.029
1512,29,0.029
1520,29,0.029
1532,28,0.028
1540,28,0.028
1552,27,0.027
1560,28,0.028
1572,29,0.029
1580,32,0.032
1592,37,0.037
1600,41,0.041
1612,51,0.051
1620,65,0.065
1632,103,0.103
1640,134,0.134
1652,181,0.181
1660,212,0.212
1672,261,0.261
1680,282,0.282
1692,291,0.291
1700,290,0.29
1712,280,0.28
1720,252,0.252
1732,217,0.217
1740,199,0.199
1752,182,0.182
1760,173,0.173
1772,163,0.163
1780,158,0.158
1792,153,0.153
1800,150,0.15
1810,146,0.146
1820,143,0.143
1830,150,0.15
1840,162,0.162
1850,177,0.177
1860,199,0.199
1870,221,0.221
1880,241,0.241
1890,242,0.242
1900,230,0.23
1910,219,0.219
1920,2205,2.205
1930,196,0.196
1940,186,0.186
1950,180,0.18
1960,181,0.181
1970,186,0.186
1980,190,0.19
1990,208,0.208
2000,227,0.227
2010,239,0.239
2020,250,0.25
2030,266,0.266
2040,278,0.278
2050,299,0.299
2060,333,0.333
2070,390,0.39
2080,456,0.456
2090,511,0.511
2100,541,0.541
2110,538,0.538
2120,514,0.514
2130,498,0.498
2140,487,0.487
2150,501,0.501
2160,538,0.538
2170,618,0.618
2180,713,0.713
